RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
37412,zip,TN,TN,East Ridge,"Chattanooga, TN-GA",Hamilton County,205380.4019650855
28739,zip,NC,NC,Valley Hill,"Asheville, NC",Henderson County,323499.69797864027
19473,zip,PA,PA,Schwenksville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,144519.8844294376
60431,zip,IL,IL,Joliet,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,268575.5814532721
10703,zip,NY,NY,Yonkers,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,262389.0565706802
60131,zip,IL,IL,Franklin Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,180213.27908400507
19341,zip,PA,PA,Exton,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,354172.19018674316
48009,zip,MI,MI,Birmingham,"Detroit-Warren-Dearborn, MI",Oakland County,305333.132628348
96761,zip,HI,HI,Lahaina,"Kahului-Wailuku-Lahaina, HI",Maui County,915675.5231529506
7866,zip,NJ,NJ,Rockaway,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,437207.78307887464
46208,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,181556.26280074895
77056,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,313032.5094235348
33487,zip,FL,FL,Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,517194.4113947611
5452,zip,VT,VT,Essex,"Burlington-South Burlington, VT",Chittenden County,357630.83026605163
48114,zip,MI,MI,Brighton,"Detroit-Warren-Dearborn, MI",Livingston County,360022.2148958708
49686,zip,MI,MI,Traverse City,"Traverse City, MI",Grand Traverse County,293626.56674248516
59808,zip,MT,MT,Missoula,"Missoula, MT",Missoula County,349391.6385431693
43920,zip,OH,OH,East Liverpool,"Salem, OH",Columbiana County,222252.5602373044
2134,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,554852.982599808
78703,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County,576460.8300325694
37615,zip,TN,TN,Johnson City,"Johnson City, TN",Washington County,247887.38373975665
70460,zip,LA,LA,Slidell,"New Orleans-Metairie, LA",Saint Tammany Parish,124980.67968278496
92663,zip,CA,CA,Newport Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,1266657.5037565578
44319,zip,OH,OH,Green,"Akron, OH",Summit County,191281.59050960917
60008,zip,IL,IL,Rolling Meadows,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,182507.8665354209
33137,zip,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,627926.6920512785
61111,zip,IL,IL,Loves Park,"Rockford, IL",Winnebago County,171371.6447601719
55305,zip,MN,MN,Minnetonka,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,215148.5413421048
8721,zip,NJ,NJ,Bayville,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,342380.72987984726
33852,zip,FL,FL,Lake Placid,"Sebring-Avon Park, FL",Highlands County,129550.86127401186
50320,zip,IA,IA,Des Moines,"Des Moines-West Des Moines, IA",Polk County,161127.76358316536
53548,zip,WI,WI,Janesville,"Janesville-Beloit, WI",Rock County,186241.85265817787
49301,zip,MI,MI,Ada,"Grand Rapids-Kentwood, MI",Kent County,562427.3773458706
45251,zip,OH,OH,Cincinnati,"Cincinnati, OH-KY-IN",Hamilton County,151261.35813660614
49512,zip,MI,MI,Kentwood,"Grand Rapids-Kentwood, MI",Kent County,274130.19827659265
2879,zip,RI,RI,South Kingstown,"Providence-Warwick, RI-MA",Washington County,660195.0818418438
45030,zip,OH,OH,Harrison,"Cincinnati, OH-KY-IN",Hamilton County,215104.3712260907
91202,zip,CA,CA,Glendale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,680137.8429657514
95110,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,687553.2895203517
1440,zip,MA,MA,Gardner,"Worcester, MA-CT",Worcester County,196386.99510372724
7950,zip,NJ,NJ,Morris Plains,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,418189.09361509007
97034,zip,OR,OR,Lake Oswego,"Portland-Vancouver-Hillsboro, OR-WA",Clackamas County,393837.96582969854
48314,zip,MI,MI,Sterling Heights,"Detroit-Warren-Dearborn, MI",Macomb County,280272.0022601662
92501,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,398918.4180582448
53090,zip,WI,WI,West Bend,"Milwaukee-Waukesha, WI",Washington County,235844.9670951112
48080,zip,MI,MI,Saint Clair Shores,"Detroit-Warren-Dearborn, MI",Macomb County,128742.56962241187
17408,zip,PA,PA,York,"York-Hanover, PA",York County,225557.47209094703
33405,zip,FL,FL,West Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,396191.2847848564
19046,zip,PA,PA,Jenkintown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,189525.94306632865
44202,zip,OH,OH,Aurora,"Akron, OH",Portage County,364894.68896115624
39501,zip,MS,MS,Gulfport,"Gulfport-Biloxi, MS",Harrison County,170939.53100109423
